"vignette_id";"upbringing_level";"upbringing_text";"reflection_level";"reflection_text";"adulthood_level";"adulthood_text";"action_level";"action_text";"topic";"combined_text";"qualtrics_id";"action_type";"action_age"
"racism_bad_yes_activist_help_18";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.1";"help";"18"
"racism_bad_yes_activist_help_25";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.2";"help";"25"
"racism_bad_yes_activist_help_35";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"help_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.3";"help";"35"
"racism_bad_yes_activist_offense_18";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.4";"offense";"18"
"racism_bad_yes_activist_offense_25";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.5";"offense";"25"
"racism_bad_yes_activist_offense_35";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"activist";"Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.";"offense_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud human rights activist and believed that all people were equal and had a right to be treated with dignity and respect.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.6";"offense";"35"
"racism_bad_yes_perpetrator_help_18";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.7";"help";"18"
"racism_bad_yes_perpetrator_help_25";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_25";"At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 25, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.8";"help";"25"
"racism_bad_yes_perpetrator_help_35";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"help_35";"At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 35, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. Tom goes up to the man, gives him his hand and helps him up. Having made sure that the man is not hurt, he continues walking.";"racism.9";"help";"35"
"racism_bad_yes_perpetrator_offense_18";"bad";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.";"yes";"As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections,";"perpetrator";"Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.";"offense_18";"At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism";"Tom is a white man who was raised in a community of people who all shared similar moral beliefs. Growing up, he was taught to believe that all non-white people were inferior and that he had a moral right to mistreat them.<br>As an adult, Tom reflected on the values he had been taught in his upbringing and repeatedly asked himself, \"What kind of person do I want to be?\" As a result of his reflections, Tom became a proud racist and believed that all non-white people were inferior and that he had a moral right to mistreat them.<br>At the age of 18, Tom moved to another town. Walking outside his home, he sees a black man who has tripped and fallen on his knees. While passing the man, Tom turns slightly and kicks him. Having made sure that the man has fallen on the ground, he continues walking.";"racism.10";"offense";"18"
